PLAYERS,TEAM,KILL,DEATH,ASSIST
BJD Azhi,Berjaya Dragons,11,19,24
BJD Enso,Berjaya Dragons,16,15,27
BJD Minji,Berjaya Dragons,15,13,32
BJD Eren,Berjaya Dragons,5,16,36
BJD K2,Berjaya Dragons,14,12,37
BYG Liang,Beyond Gaming,11,5,36
BYG Husha,Beyond Gaming,14,3,21
BYG Maoan,Beyond Gaming,14,11,22
BYG Doggo,Beyond Gaming,15,6,30
BYG Kino,Beyond Gaming,5,11,29
BME Rockky,BOOM Esports,11,27,26
BME Epic,BOOM Esports,3,17,37
BME Ruby,BOOM Esports,15,25,32
BME Wako,BOOM Esports,29,18,21
BME PoP,BOOM Esports,7,22,31
HKA Rock,Hong Kong Attitude,17,15,28
HKA Kongyue,Hong Kong Attitude,23,22,41
HKA B1ven,Hong Kong Attitude,15,15,36
HKA MnM,Hong Kong Attitude,18,15,32
HKA Wing,Hong Kong Attitude,3,30,40
IMP TOPKING,Impunity Esports,8,17,8
IMP CYH,Impunity Esports,6,19,16
IMP Shera,Impunity Esports,3,18,11
IMP Blaze,Impunity Esports,6,20,13
IMP Smerv,Impunity Esports,5,18,14
JT Driver,Taipei J Team,20,19,48
JT Hana,Taipei J Team,43,23,108
JT Mission,Taipei J Team,42,38,88
JT Lilv,Taipei J Team,68,27,66
JT Woody,Taipei J Team,10,37,137
JT Rest,Taipei J Team,12,11,45
MCX Likai,Machi Esports,29,26,85
MCX Gemini,Machi Esports,51,35,82
MCX JimieN,Machi Esports,45,36,90
MCX Atlen,Machi Esports,61,28,63
MCX Koala,Machi Esports,17,27,125
PSG Hanabi,PSG Talon,8,3,28
PSG River,PSG Talon,4,8,35
PSG Maple,PSG Talon,15,2,24
PSG Unified,PSG Talon,24,3,15
PSG Kaiwing,PSG Talon,0,7,35
